"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITF6","Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","1","nubile/celibe","2020","2020",7242,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",7242,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","1","nubile/celibe","2020","2020",6935,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",6935,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","1","nubile/celibe","2020","2020",14177,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",14177,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","1","nubile/celibe","2020","2020",2523,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",2523,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","1","nubile/celibe","2020","2020",2416,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",2416,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","1","nubile/celibe","2020","2020",4939,,
"ITF61","Cosenza","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",4939,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","1","nubile/celibe","2020","2020",686,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",686,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","1","nubile/celibe","2020","2020",701,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",701,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","1","nubile/celibe","2020","2020",1387,,
"ITF62","Crotone","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",1387,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","1","nubile/celibe","2020","2020",1295,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",1295,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","1","nubile/celibe","2020","2020",1230,,
"ITF63","Catanzaro","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",1230,,
